Season,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamReadCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals
1993-1994,14/08/93,,Arsenal,Coventry,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-1994,14/08/93,,Aston Villa,QPR,4,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-1994,14/08/93,,Chelsea,Blackburn,1,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-1994,14/08/93,,Liverpool,Sheffield Weds,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-1994,14/08/93,,Man City,Leeds,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-1994,14/08/93,,Newcastle,Tottenham,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-1994,14/08/93,,Oldham,Ipswich,0,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-1994,14/08/93,,Sheffield United,Swindon,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-1994,14/08/93,,Southampton,Everton,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-1994,14/08/93,,West Ham,Wimbledon,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-1994,15/08/93,,Norwich,Man United,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
